OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu043,0.00524,9.00E-06,0.001082,0.003864,8.00E-06,0.001036,0.495593,1.999997,0.993619358,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);
Otu050,0.002113,3.50E-05,0.002081,3.20E-05,0,3.20E-05,0.421879,1.999997,0.993619358,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu052,0.007353,0.000433,0.007353,0,0,0,0.363275,1.999997,0.993619358,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Terrisporobacter(100);
Otu056,0.000282,0,0.000126,0.000644,1.00E-06,0.000335,0.340989,1.999997,0.993619358,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Erysipelotrichaceae_unclassified(100);
Otu066,5.60E-05,0,5.60E-05,0,0,0,0.502215,1.999997,0.993619358,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Bilophila(100);
Otu069,0.005409,0.00022,0.005249,0.000161,0,0.000127,0.425286,1.999997,0.993619358,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Mogibacterium(100);
Otu072,0.000254,0,0.000124,0.000419,0,0.000134,0.508187,1.999997,0.993619358,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Romboutsia(100);
Otu077,0.005719,0.00025,0.005591,6.40E-05,0,6.40E-05,0.342011,1.999997,0.993619358,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Fusicatenibacter(100);
Otu081,0.000113,0,6.00E-05,3.20E-05,0,3.20E-05,0.380525,1.999997,0.993619358,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridiaceae_1_unclassified(100);
Otu086,0.000197,0,0.000197,0.00103,5.00E-06,0.000857,0.481593,1.999997,0.993619358,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacteriaceae_unclassified(100);
Otu095,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999997,0.993619358,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Desulfovibrionaceae_unclassified(100);
Otu097,5.60E-05,0,5.60E-05,0,0,0,0.502215,1.999997,0.993619358,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);
