OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu092,0,0,0,0.000141,0,0.000141,0.062491,2.000005,0.602967857,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Anaerovibrio(100);
Otu101,8.50E-05,0,5.90E-05,0.000676,1.00E-06,0.000322,0.064935,2.000005,0.602967857,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Anaerostipes(100);
Otu023,0.011269,9.10E-05,0.003374,0.019157,6.40E-05,0.002828,0.098901,2.000005,0.676691053,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu025,0.006142,4.60E-05,0.002399,0.014368,0.000121,0.003883,0.088911,2.000005,0.676691053,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu030,0.000197,0,6.60E-05,0.001155,4.00E-06,0.000702,0.094905,2.000005,0.676691053,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu040,0.002676,5.00E-06,0.000818,0.006339,2.90E-05,0.001894,0.096903,2.000005,0.676691053,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Cloacibacillus(100);
Otu076,0.000254,0,0.000138,0.000873,1.00E-06,0.000287,0.082917,2.000005,0.676691053,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu120,0,0,0,0.000113,0,8.50E-05,0.124989,2.000005,0.773741429,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(100);Rothia(100);
Otu129,0,0,0,0.000113,0,8.50E-05,0.124989,2.000005,0.773741429,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Sporobacter(100);
Otu050,8.50E-05,0,5.90E-05,0.00031,0,0.000147,0.156843,2.000005,0.84956625,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu072,0.000197,0,0.000116,0.000704,1.00E-06,0.000305,0.154845,2.000005,0.84956625,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Romboutsia(100);
Otu091,0.000113,0,6.00E-05,0.000507,1.00E-06,0.000272,0.150849,2.000005,0.84956625,Bacteria(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
