OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu016,0.033807,0.001325,0.012868,0.017773,9.40E-05,0.003662,0.212174,2,0.765595378,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);
Otu017,0.026228,0.001171,0.012099,0.049583,0.001023,0.012089,0.157047,2,0.765595378,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu028,2.80E-05,0,2.80E-05,0.000515,1.00E-06,0.000414,0.225291,2,0.765595378,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu032,0.005071,2.20E-05,0.001641,0.008822,4.40E-05,0.002507,0.194256,2,0.765595378,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu038,0.002676,1.50E-05,0.001388,0.020187,0.000669,0.009773,0.0665,2,0.765595378,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);
Otu041,0.000113,0,0.000113,0,0,0,0.128325,2,0.765595378,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
Otu043,0.001747,4.00E-06,0.000664,0.002994,5.00E-06,0.000882,0.249302,2,0.765595378,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);
Otu044,0.015438,0.000304,0.006161,0.038218,0.001892,0.016441,0.18193,2,0.765595378,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Helicobacteraceae(100);Helicobacter(100);
Otu048,0.00138,3.00E-06,0.000615,0.019608,0.000893,0.011297,0.096663,2,0.765595378,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);
Otu049,0.004902,6.80E-05,0.002921,0.001513,2.00E-06,0.000463,0.240023,2,0.765595378,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Eubacteriaceae(100);Eubacterium(100);
Otu055,0.000845,2.00E-06,0.000487,0.002801,1.10E-05,0.001245,0.130419,2,0.765595378,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu060,0.001747,5.00E-06,0.000791,0.000547,0,0.000245,0.135767,2,0.765595378,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu062,0,0,0,6.40E-05,0,6.40E-05,0.217774,2,0.765595378,Bacteria(100);Proteobacteria(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);
Otu076,0.000423,0,0.000206,0.001642,3.00E-06,0.000688,0.077965,2,0.765595378,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
