OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu073,0.00018,0,8.40E-05,0.000789,1.00E-06,0.000402,0.142627,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Peptostreptococcaceae_unclassified(100);
Otu075,0,0,0,0.000526,1.00E-06,0.000406,0.211284,2.000005,0.824307595,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);
Otu076,0,0,0,0.000113,0,7.70E-05,0.256183,2.000005,0.824307595,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu079,0.000406,0,0.000251,0.001465,5.00E-06,0.000869,0.283104,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Sharpea(100);
Otu084,9.00E-05,0,9.00E-05,0,0,0,0.206606,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptococcaceae_1(100);Peptococcus(100);
Otu085,0,0,0,0.000113,0,0.000113,0.256183,2.000005,0.824307595,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Sutterella(100);
Otu087,0,0,0,0.001202,9.00E-06,0.001202,0.398955,2.000005,0.824307595,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Senegalimassilia(100);
Otu088,0.00027,0,0.000131,7.50E-05,0,7.50E-05,0.215776,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Howardella(100);
Otu092,0,0,0,0.000113,0,0.000113,0.256183,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Anaerovibrio(100);
Otu093,0.000361,0,0.000307,0.004282,7.70E-05,0.00359,0.332,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Weissella(100);
Otu096,0,0,0,0.000413,1.00E-06,0.000299,0.179179,2.000005,0.824307595,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Synergistes(100);
Otu098,0.000135,0,9.00E-05,0.000376,0,0.00015,0.182448,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Flavonifractor(100);
Otu106,0.00018,0,0.00018,0.001014,4.00E-06,0.000841,0.438403,2.000005,0.824307595,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu109,4.50E-05,0,4.50E-05,0.00015,0,0.00015,0.385263,2.000005,0.824307595,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);
Otu113,0,0,0,0.000488,1.00E-06,0.000321,0.126224,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Bacilli(100);Bacilli_unclassified(100);Bacilli_unclassified(100);Bacilli_unclassified(100);
Otu115,4.50E-05,0,4.50E-05,0,0,0,0.454545,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Acetivibrio(100);
Otu116,4.50E-05,0,4.50E-05,0.001427,9.00E-06,0.001203,0.298403,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Pseudoflavonifractor(100);
Otu120,0,0,0,7.50E-05,0,7.50E-05,0.504122,2.000005,0.824307595,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(100);Rothia(100);
Otu123,0.000631,1.00E-06,0.000442,7.50E-05,0,7.50E-05,0.240403,2.000005,0.824307595,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Oxalobacteraceae_unclassified(100);
Otu124,0,0,0,7.50E-05,0,7.50E-05,0.504122,2.000005,0.824307595,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseriaceae_unclassified(100);
Otu125,9.00E-05,0,9.00E-05,0,0,0,0.206606,2.000005,0.824307595,Bacteria(100);Fibrobacteres(100);Fibrobacteria(100);Fibrobacterales(100);Fibrobacteraceae(100);Fibrobacter(100);
Otu128,9.00E-05,0,9.00E-05,0,0,0,0.206606,2.000005,0.824307595,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);
Otu132,0,0,0,0.00015,0,0.000111,0.131192,2.000005,0.824307595,Bacteria(100);Chlamydiae(100);Chlamydiia(100);Chlamydiales(100);Chlamydiaceae(100);Chlamydia(100);
Otu136,0,0,0,7.50E-05,0,7.50E-05,0.504122,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcaceae_unclassified(100);
Otu138,0.000766,0,0.000299,0.000263,0,0.000188,0.155104,2.000005,0.824307595,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Comamonadaceae_unclassified(100);
Otu139,0,0,0,0.000263,0,0.000221,0.266672,2.000005,0.824307595,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Haemophilus(100);
Otu142,0,0,0,7.50E-05,0,7.50E-05,0.504122,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Leuconostoc(100);
Otu145,0,0,0,7.50E-05,0,7.50E-05,0.504122,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Clostridium_XVIII(100);
Otu158,0,0,0,0.000188,0,0.000122,0.067674,2.000005,0.824307595,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Deltaproteobacteria_unclassified(100);Deltaproteobacteria_unclassified(100);Deltaproteobacteria_unclassified(100);
