OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu061,0.002057,9.00E-06,0.001051,0.001384,4.00E-06,0.00071,0.732989,1.999998,0.978060693,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Pseudoscardovia(100);
Otu022,0.014537,0.000424,0.007279,0.009981,0.000283,0.006359,0.756805,1.999998,0.986562115,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu033,0.009015,0.000127,0.00399,0.011365,7.10E-05,0.003176,0.763379,1.999998,0.986562115,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu043,0.00524,9.00E-06,0.001082,0.006085,1.60E-05,0.001502,0.76569,1.999998,0.986562115,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);
Otu003,0.099955,0.018042,0.047489,0.097106,0.003304,0.021724,0.963966,1.999998,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu005,0.015636,0.000105,0.003625,0.016581,0.000104,0.003859,0.905195,1.999998,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu012,0.00786,7.00E-05,0.002957,0.007534,3.50E-05,0.002252,0.947126,1.999998,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);
Otu014,0.005381,2.80E-05,0.001882,0.005634,6.00E-06,0.000899,0.93269,1.999998,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu016,0.015974,0.000525,0.008097,0.017644,0.000136,0.004402,0.90423,1.999998,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);
Otu032,0.010424,7.50E-05,0.00306,0.011011,1.60E-05,0.001502,0.907713,1.999998,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu035,0.002845,2.70E-05,0.001825,0.003477,7.10E-05,0.003182,0.907828,1.999998,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu037,0.000113,0,7.40E-05,0.000129,0,0.000129,1,1.999998,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Succinivibrio(100);
Otu041,0.000113,0,8.50E-05,0.000129,0,0.000129,1,1.999998,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
Otu047,0.004874,2.00E-05,0.001587,0.004862,1.80E-05,0.001604,0.983506,1.999998,1,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Treponema(100);
Otu049,0.002648,8.00E-06,0.001005,0.002415,8.00E-06,0.001046,0.913885,1.999998,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Eubacteriaceae(100);Eubacterium(100);
Otu055,0.002226,9.00E-06,0.001058,0.001803,3.00E-06,0.000624,0.819667,1.999998,1,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu071,0.000563,1.00E-06,0.000313,0.000419,0,0.000193,0.796736,1.999998,1,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionales_unclassified(100);Desulfovibrionales_unclassified(100);
Otu072,0.000254,0,0.000124,0.000354,0,0.00025,0.811828,1.999998,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Romboutsia(100);
Otu075,0.000225,0,0.000141,0.000193,0,0.000134,0.910644,1.999998,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);
Otu084,0.001352,3.00E-06,0.000581,0.001095,1.00E-06,0.000317,0.799184,1.999998,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptococcaceae_1(100);Peptococcus(100);
Otu086,0.000197,0,0.000197,0.000193,0,0.000103,1,1.999998,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacteriaceae_unclassified(100);
Otu089,0.000141,0,4.10E-05,0.000161,0,6.40E-05,1,1.999998,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);
Otu090,0.00031,0,0.00019,0.000419,1.00E-06,0.000313,0.842218,1.999998,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Catenibacterium(100);
Otu105,2.80E-05,0,2.80E-05,0,0,0,1,1.999998,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);
